STATE,STATENAME,ST_CASE,VEH_NO,MOD_YEAR,MOD_YEARNAME,VPICBODYCLASSNAME,MAKENAME,BODY_TYP,BODY_TYPNAME,ROLLOVER,ROLLOVERNAME,FIRE_EXP,FIRE_EXPNAME,DEATHS,DR_DRINK,DR_DRINKNAME,SPEEDREL,SPEEDRELNAME,VSPD_LIM,VSPD_LIMNAME,VSURCOND,VSURCONDNAME
1,Alabama,10032,1,2020,2020,Sedan/Saloon,KIA,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,1,Yes,0,No,45,45 MPH,1,Dry
1,Alabama,10032,2,1993,1993,Incomplete - Motor Home Chassis,Other Make,65,Medium/Heavy Vehicle Based Motor Home,0,No Rollover,0,No or Not Reported,0,0,No,8,No Driver Present/Unknown if Driver Present,45,45 MPH,1,Dry
1,Alabama,10033,1,2009,2009,Sedan/Saloon,Toyota,4,"4-door sedan, hardtop",3,Rollover,0,No or Not Reported,1,1,Yes,3,"Yes, Exceeded Speed Limit",45,45 MPH,1,Dry
1,Alabama,10034,1,2017,2017,Hatchback/Liftback/Notchback,Honda,5,5-door/4-door hatchback,0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,2,Wet
1,Alabama,10035,1,2013,2013,Sedan/Saloon,Dodge,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,1,Yes,3,"Yes, Exceeded Speed Limit",50,50 MPH,4,Ice/Frost
1,Alabama,10035,2,2015,2015,Pickup,Chevrolet,34,Light Pickup,0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,4,Ice/Frost
1,Alabama,10036,1,2021,2021,Sedan/Saloon,Hyundai,4,"4-door sedan, hardtop",3,Rollover,1,Yes,1,1,Yes,9,Reported as Unknown,45,45 MPH,1,Dry
1,Alabama,10037,1,2004,2004,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Ford,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",3,Rollover,0,No or Not Reported,1,0,No,4,"Yes, Too Fast for Conditions",55,55 MPH,4,Ice/Frost
1,Alabama,10038,1,2017,2017,Sedan/Saloon,Ford,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,0,No,0,No,35,35 MPH,2,Wet
1,Alabama,10038,2,2004,2004,Truck-Tractor,Peterbilt,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",0,No Rollover,0,No or Not Reported,0,0,No,0,No,35,35 MPH,2,Wet
1,Alabama,10038,3,2005,2005,Pickup,Chevrolet,34,Light Pickup,0,No Rollover,0,No or Not Reported,0,0,No,0,No,35,35 MPH,2,Wet
